,"['Au0+', 'Au0+']","['Au0+', 'Li0+']","['Au0+', 'Tc0+']","['B0+', 'B0+']","['B3-', 'B3-']","['Ba0+', 'Ba0+']","['C0+', 'C0+']","['C0+', 'O0+']","['C4-', 'C4-']","['Ca0+', 'Ca0+']","['Cl0+', 'Cl0+']","['Co0+', 'Co0+']","['Co0+', 'Li0+']","['Co0+', 'Rh0+']","['Co0+', 'Tc0+']","['Cr0+', 'Cr0+']","['Cr0+', 'Fe0+']","['Cr0+', 'Ir0+']","['Cr0+', 'Tc0+']","['Cu0+', 'Cu0+']","['Cu0+', 'Ni0+']","['Cu0+', 'Pd0+']","['Cu0+', 'Tc0+']","['Er0+', 'Er0+']","['F-', 'F-']","['Fe0+', 'Fe0+']","['Fe0+', 'Pt0+']","['Fe0+', 'Tc0+']","['Ga0+', 'Ga0+']","['H-', 'H-']","['Hf0+', 'Hf0+']","['Hg0+', 'Hg0+']","['Ir0+', 'Ir0+']","['Ir0+', 'Mn0+']","['Ir0+', 'Tc0+']","['Ir0+', 'V0+']","['La0+', 'La0+']","['La0+', 'Y0+']","['Li0+', 'Li0+']","['Li0+', 'Ru0+']","['Mn0+', 'Mn0+']","['Mn0+', 'Ni0+']","['Mn0+', 'Tc0+']","['Mo0+', 'Mo0+']","['Ni0+', 'Ni0+']","['Ni0+', 'Pt0+']","['Ni0+', 'Tc0+']","['O0+', 'O0+']","['O2-', 'O2-']","['Os0+', 'Os0+']","['Os0+', 'Pd0+']","['Os0+', 'Pt0+']","['Os0+', 'Sc0+']","['Pd0+', 'Pd0+']","['Pd0+', 'Pt0+']","['Pd0+', 'Tc0+']","['Pt0+', 'Pt0+']","['Pt0+', 'Tc0+']","['Re0+', 'Re0+']","['Rh0+', 'Rh0+']","['Rh0+', 'Tc0+']","['Ru0+', 'Ru0+']","['Sc0+', 'Sc0+']","['Sc0+', 'Tc0+']","['Sc0+', 'Y0+']","['Si0+', 'Si0+']","['Si4-', 'Si4-']","['Sr0+', 'Sr0+']","['Tc0+', 'Tc0+']","['Tc3-', 'Tc3-']","['Te2-', 'Te2-']","['Ti0+', 'Ti0+']","['U0+', 'U0+']","['W0+', 'W0+']","['Y0+', 'Y0+']","['Zn0+', 'Zn0+']","['Zr0+', 'Zr0+']"
10,,,,,,,,,,,,144.30517679746862,,,,,,,,-139.98448915511491,,,,,,-248.58124227732475,,,,,,,245.24416874816995,,,,,,,,-420.2808778352173,,,-960.3879141467928,-448.1917766654736,,,,,,,,,,,,,,,1840.6437184223453,,-207.12370333164412,,,,5169.767587813956,,,,-900.9651821816684,,,,446.6388578026707,,,
11,,,,,,,,,,,,76.2722724051759,,,,,,,,-174.2903339052266,,,,,,-374.4222898973281,,,,,,,264.1567295377658,,,,,,,,-177.1388243747391,,,-964.2238090948683,817.2504324597942,,,,,,,,,,,,,,,-2211.4332578083945,,-211.85047877612436,,,,5172.36568658764,,,,,,,,370.69520018150786,,,
12,,,,,,,,,,,,81.14415919819629,,,,,,,,852.8782254226253,,,,,,-364.1054120480645,,,,,,,-392.65864063944616,,,,,,,,-231.7783072917577,,,-1257.6710236866143,817.7796696983701,,,,,,,,,,,,,,,1810.1222594823364,,-15.056431165419497,,,,-3238.218775061108,,,,,,,,,,,
13,,,,,,,,,,,,-232.52757691732774,,,,,,,,1072.0884531160418,,,,,,-195.90927769656594,,,,,,,-148.00701193813458,,,,,,,,-217.41428137458286,,,-1255.9265286102222,-319.90723915337065,,,,,,,,,,,,,,,1104.6364959051248,,20.084468148306996,,,,-3304.221173004247,,,,,,,,,,,
14,,,,,,,,,,,,77.5408414687372,,,,,,,,-1180.9905726243699,,,,,,-198.20870189536672,,,,,,,265.6225004634209,,,,,,,,-206.23176279254062,,,-1163.5769794737953,316.18203839276765,,,,,,,,,,,,,,,-1030.7410155258826,,22.639656357944887,,,,,,,,,,,,,,,
15,,,,,,,,,,,,-295.17686054014,,,,,,,,-1183.2866005040005,,,,,,-186.4524916863337,,,,,,,-306.6158952818918,,,,,,,,-215.49484061832254,,,-1164.0599626728604,-322.48078022683995,,,,,,,,,,,,,,,-1075.4102646728893,,-13.229067439720552,,,,,,,,,,,,,,,
16,,,,,,,,,,,,-360.1865445942757,,,,,,,,1071.178633620084,,,,,,-187.60467458814503,,,,,,,-247.74128535616103,,,,,,,,-189.77128964692957,,,-960.5240765733143,-485.3859924037785,,,,,,,,,,,,,,,-998.4834312673579,,587.0762181306254,,,,,,,,,,,,,,,
17,,,,,,,,,,,,-105.14110982538625,,,,,,,,851.0790152969313,,,,,,189.0386014602899,,,,,,,258.1214295827346,,,,,,,,,,,-965.4187801203926,-422.64026879333977,,,,,,,,,,,,,,,343.5670377148714,,577.1683167337251,,,,,,,,,,,,,,,
18,,,,,,,,,,,,-99.58291787348685,,,,,,,,,,,,,,226.94600040693285,,,,,,,-385.47844236304314,,,,,,,,,,,-1258.938854675955,-383.0576585442961,,,,,,,,,,,,,,,-552.0777510270283,,593.8742039767963,,,,,,,,,,,,,,,
19,,,,,,,,,,,,-99.73239993447254,,,,,,,,,,,,,,185.38480642775937,,,,,,,425.7425207404874,,,,,,,,,,,-1256.4463099044947,-103.8151772256777,,,,,,,,,,,,,,,,,571.3821076424092,,,,,,,,,,,,,,,
20,,,,,,,,,,,,-104.29021430589995,,,,,,,,,,,,,,186.98529609897253,,,,,,,-344.1549574204983,,,,,,,,,,,-1163.6086588565122,-104.40156843839125,,,,,,,,,,,,,,,,,-551.1971401292618,,,,,,,,,,,,,,,
