,"['Au0+', 'Au0+', 'Au0+', 'Au0+', 'Au0+']","['C4-', 'C4-', 'C4-', 'N3-', 'N3-']","['C4-', 'C4-', 'N3-', 'N3-', 'N3-']","['Co0+', 'Co0+', 'Co0+', 'Cu0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'O2-', 'O2-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-', 'O2-']","['Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['H+', 'O2-', 'O2-', 'O2-', 'O2-']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+']","['N2.6-', 'N2.6-', 'N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-', 'N3-', 'O2-']","['N3-', 'N3-', 'N3-', 'O2-', 'O2-']","['N3-', 'N3-', 'O2-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Yb0+', 'Yb0+']","['O0+', 'O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Si0+', 'Si0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-', 'S2-']","['Si0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Si3-', 'Si3-', 'Si3-', 'Si3-', 'Si3-']","['Te2-', 'Te2-', 'Te2-', 'Te2-', 'Te2-']"
10,0.40062325560122414,,,,,,,,,,,,,,,,,,,0.3045701922440835,0.5520300579800268,,,0.011951899813300478,,,,,
11,0.49978071731624973,,,,,,,,,,,,,,,,,,,0.30463036250937287,0.7659598708331077,,,0.6560499365965485,,,,,
12,0.1380814877927678,,,,,,,,,,,,,,,,,,,0.3038685178960669,0.47672543789763716,,,,,,,,
13,0.4146500437997928,,,,,,,,,,,,,,,,,,,0.3051888823964004,0.537862287929743,,,,,,,,
14,0.2811404919491936,,,,,,,,,,,,,,,,,,,0.5681573675182902,0.5502436124301983,,,,,,,,
15,0.25868309517630694,,,,,,,,,,,,,,,,,,,0.616526950510099,0.5880666580840846,,,,,,,,
16,0.3517398674630839,,,,,,,,,,,,,,,,,,,0.5682795950907045,0.3444298842205435,,,,,,,,
17,0.2987689037735764,,,,,,,,,,,,,,,,,,,0.6238323165415112,0.19024877679014218,,,,,,,,
18,0.6713211212100398,,,,,,,,,,,,,,,,,,,,0.1903632543456116,,,,,,,,
19,0.5678837761821497,,,,,,,,,,,,,,,,,,,,0.19043710998442467,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,0.19044217175637812,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,0.5335791582667844,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,0.5332838263295072,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,0.18826165417029744,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,0.21011087237966944,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,0.2100540175937904,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,0.18856173092518555,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,0.18875479084500557,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,0.20978595606256153,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,0.21010883927374627,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,0.18774761872061319,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,0.17778148178205183,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,0.15893843537363234,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,0.30069416085766465,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,0.7866888884004587,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,0.801430750137365,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,0.5520254717975118,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,0.7659370147077538,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,0.15162963482807534,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,0.15108835346808466,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,0.1513453274774046,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,0.151341522901468,,,,,,,,
