,"['As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+']","['C0+', 'C0+', 'C0+']","['C4-', 'C4-', 'C4-']","['Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-']","['Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Fe0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+']","['H+', 'N3-', 'N3-']","['Ir0+', 'Ir0+', 'Ir0+']","['Mn0+', 'Ni0+', 'Ni0+']","['Mo0+', 'Mo0+', 'Mo0+']","['N2.6-', 'N2.6-', 'N2.6-']","['N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-']","['N3-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+']","['O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+']","['P3-', 'P3-', 'P3-']","['Pd0+', 'Pd0+', 'Pd0+']","['Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+']","['Sb3-', 'Sb3-', 'Sb3-']","['Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-']","['Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+']"
123,,-7.4263270945965765,,,,,,,,,,,,,,,,,,,,-6.057368216057837,,,,,,,,,,,,
124,,-7.42088841308165,,,,,,,,,,,,,,,,,,,,-6.083125768923833,,,,,,,,,,,,
125,,-7.4191285631083765,,,,,,,,,,,,,,,,,,,,-6.084460029042564,,,,,,,,,,,,
126,,-7.261985328709915,,,,,,,,,,,,,,,,,,,,-7.44729432324355,,,,,,,,,,,,
127,,-7.267197551341071,,,,,,,,,,,,,,,,,,,,-7.4620509710628085,,,,,,,,,,,,
128,,-7.2640971349014904,,,,,,,,,,,,,,,,,,,,-7.461724609495673,,,,,,,,,,,,
129,,-7.266612599771587,,,,,,,,,,,,,,,,,,,,-7.448412172995216,,,,,,,,,,,,
130,,-7.270673999343367,,,,,,,,,,,,,,,,,,,,-7.920378027365224,,,,,,,,,,,,
131,,-7.263131146581723,,,,,,,,,,,,,,,,,,,,-7.918694734685947,,,,,,,,,,,,
132,,-7.2588929835451905,,,,,,,,,,,,,,,,,,,,-7.920125970373955,,,,,,,,,,,,
133,,-7.27201117199775,,,,,,,,,,,,,,,,,,,,-7.921454164873752,,,,,,,,,,,,
134,,1.8391429744443952,,,,,,,,,,,,,,,,,,,,-7.063464732202422,,,,,,,,,,,,
135,,1.8380042819541116,,,,,,,,,,,,,,,,,,,,-7.063447386074413,,,,,,,,,,,,
136,,-7.259950669358996,,,,,,,,,,,,,,,,,,,,-7.064119205775316,,,,,,,,,,,,
137,,-7.270243917611587,,,,,,,,,,,,,,,,,,,,-7.061618949533594,,,,,,,,,,,,
138,,-7.26288458921888,,,,,,,,,,,,,,,,,,,,-11.724373126372686,,,,,,,,,,,,
139,,-7.2626025895205455,,,,,,,,,,,,,,,,,,,,-7.206933576840274,,,,,,,,,,,,
140,,-7.4949645583279505,,,,,,,,,,,,,,,,,,,,-7.157430483619224,,,,,,,,,,,,
141,,-7.493961098677776,,,,,,,,,,,,,,,,,,,,-5.424163289279701,,,,,,,,,,,,
142,,-7.493992366513334,,,,,,,,,,,,,,,,,,,,-11.727224621212306,,,,,,,,,,,,
143,,-7.4940310393172975,,,,,,,,,,,,,,,,,,,,-5.375239855098568,,,,,,,,,,,,
144,,-7.494245102622834,,,,,,,,,,,,,,,,,,,,-11.62916828471788,,,,,,,,,,,,
145,,-7.494667299514889,,,,,,,,,,,,,,,,,,,,-5.364381120954564,,,,,,,,,,,,
146,,-7.49459950848381,,,,,,,,,,,,,,,,,,,,-11.62131655124124,,,,,,,,,,,,
147,,-7.495161620717895,,,,,,,,,,,,,,,,,,,,-7.172042799071111,,,,,,,,,,,,
148,,1.3339727040272147,,,,,,,,,,,,,,,,,,,,-5.423066850308013,,,,,,,,,,,,
149,,1.3347452021543578,,,,,,,,,,,,,,,,,,,,-7.187542991529655,,,,,,,,,,,,
150,,-7.4943638550246225,,,,,,,,,,,,,,,,,,,,7.832870944551993,,,,,,,,,,,,
151,,-7.494106978903678,,,,,,,,,,,,,,,,,,,,7.541400600882423,,,,,,,,,,,,
152,,-7.494222386042778,,,,,,,,,,,,,,,,,,,,7.512571802487309,,,,,,,,,,,,
153,,-7.494548695799729,,,,,,,,,,,,,,,,,,,,7.5418964216025985,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,7.5390138386431484,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,7.510234013237736,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,7.508877008981698,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,7.542309112056647,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,7.510431260694385,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,7.799662654828062,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,7.83080525365587,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,7.8003626484548665,,,,,,,,,,,,
