,"['As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+']","['C0+', 'C0+', 'C0+']","['C4-', 'C4-', 'C4-']","['Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-']","['Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Fe0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+']","['H+', 'N3-', 'N3-']","['Ir0+', 'Ir0+', 'Ir0+']","['Mn0+', 'Ni0+', 'Ni0+']","['Mo0+', 'Mo0+', 'Mo0+']","['N2.6-', 'N2.6-', 'N2.6-']","['N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-']","['N3-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+']","['O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+']","['P3-', 'P3-', 'P3-']","['Pd0+', 'Pd0+', 'Pd0+']","['Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+']","['Sb3-', 'Sb3-', 'Sb3-']","['Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-']","['Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+']"
10,504.83294433333344,343.9439623333333,,462.4561243333333,,524.4267939999999,,,,,,639.577195,,468.8418836666669,,507.45967466666656,,,,,,335.19151766666687,282.7809336666666,641.5272456666668,468.2488890000002,513.8747689999999,398.0306263333334,,997.3174716666666,,,152.959735,,
11,506.2652573333334,345.021659,,325.9664876666665,,541.8170873333332,,,,,,642.4990623333333,,390.03159066666666,,529.7998203333333,,,,,,319.4996223333333,286.68716433333356,1581.7637343333342,468.2024753333333,605.4260986666669,394.76204533333333,,991.0902006666669,,,-40.42017333333339,,
12,,350.263449,,485.3020143333333,,642.2475956666665,,,,,,586.1424239999999,,436.344859,,534.5969450000003,,,,,,444.60244800000004,286.7206173333334,510.36790266666657,430.70382600000016,691.9132526666672,710.7430683333333,,-1416.213559666667,,,504.34823366666654,,
13,,350.0723243333334,,322.07834733333334,,643.5725190000003,,,,,,585.8081833333333,,444.9745583333334,,471.1509540000002,,,,,,442.9327769999998,286.7012746666665,1578.9333143333333,430.66364400000003,728.9940186666668,710.8125566666662,,1055.2654923333328,,,503.994845666667,,
14,,356.62340633333343,,313.7150893333333,,636.8171283333332,,,,,,587.2356956666669,,373.050591,,465.0474433333329,,,,,,443.25110266666684,286.7397783333334,650.6244386666667,430.6962770000002,698.7956256666666,536.3396523333332,,1053.1494603333333,,,,,
15,,378.1168023333334,,334.8999066666666,,637.3276470000001,,,,,,517.1363356666666,,375.68842799999993,,486.8238669999998,,,,,,440.8466256666666,286.705731,754.0816220000006,430.6542206666665,721.6853156666667,535.9123890000002,,1004.8910676666668,,,,,
16,,360.6510243333334,,328.572476,,209.8769226666667,,,,,,,,373.8274823333334,,,,,,,,367.32219933333334,286.7387466666666,,430.70382600000016,539.478798666667,698.8744786666667,,1001.4201733333334,,,,,
17,,370.9432656666668,,328.5557469999998,,220.8545536666667,,,,,,,,374.45812399999994,,,,,,,,281.49378599999994,280.006987,,430.66364400000003,544.8224993333332,768.0228363333335,,1017.8038616666669,,,,,
18,,356.1911373333333,,301.9009383333334,,211.43741766666668,,,,,,,,372.09664599999996,,,,,,,,237.1232023333332,297.80508433333335,,430.6962770000002,553.6323706666666,671.3265319999997,,1040.9706546666669,,,,,
19,,386.5250373333334,,302.04620900000003,,223.88972966666685,,,,,,,,375.8698289999999,,,,,,,,411.6514246666666,287.1517486666667,,430.6542206666665,517.823333666667,675.4969713333335,,-1407.3729699999994,,,,,
